Pokemon,Type1,Type2,Tier,HP,Atk,Def,SpA,SpD,Spe
Crustle,Bug,Rock,NU,70,105,125,65,75,45
Cursola,Ghost,,NU,60,95,50,145,130,30
Cursola,Ghost,,NU,60,95,50,145,130,30
Darmanitan,Fire,,OU,105,140,55,30,55,95
Darmanitan-Zen,Fire,Psychic,OU,105,30,105,140,105,55
Decidueye,Grass,Ghost,UU,78,107,75,100,100,70
Delibird,Ice,Flying,PU,45,55,45,65,45,75
Dhelmise,Ghost,Grass,RU,70,131,100,86,90,40
Diggersby,Normal,Ground,UUBL,85,56,77,50,77,78
Ditto,Normal,,OU,48,48,48,48,48,48
Ditto,Normal,,OU,48,48,48,48,48,48
Doublade,Steel,Ghost,UU,59,110,150,45,49,35
Dracovish,Water,Dragon,OU,90,90,100,70,80,75
Dracozolt,Electric,Dragon,UUBL,90,100,90,80,70,75
Dragapult,Dragon,Ghost,OU,88,120,75,100,75,142
Drampa,Normal,Dragon,NU,78,60,85,135,91,36
Drapion,Poison,Dark,UU,70,90,110,60,75,95
Drednaw,Water,Rock,NU,90,115,90,48,68,74
Drifblim,Ghost,Flying,RU,150,80,44,90,54,80
Dubwool,Normal,,NU,72,80,100,60,90,88
Dugtrio,Ground,,OU,35,100,50,50,70,120
Dubwool,Normal,,NU,72,80,100,60,90,88
Dugtrio,Ground,,OU,35,100,50,50,70,120
Dugtrio-Alola,Ground,Steel,UU,35,100,60,50,70,110
Duraludon,Steel,Dragon,UU,70,95,115,120,50,85
Durant,Bug,Steel,UUBL,58,109,112,48,48,109
Dusknoir,Ghost,,PU,45,100,135,65,135,45
Eiscue,Ice,,PU,75,80,110,65,90,50
Eiscue-Noice,Ice,,PU,75,80,70,65,50,130
Eldegoss,Grass,,NU,60,50,90,80,120,60
Escavalier,Bug,Steel,RU,70,135,105,60,105,20
Escavalier,Bug,Steel,RU,70,135,105,60,105,20
Espeon,Psychic,,UU,65,65,60,130,95,110
Excadrill,Ground,Steel,OU,110,135,60,50,65,88
Falinks,Fighting,,NU,65,100,100,70,60,75
Farfetch'd,Normal,Flying,UU,52,90,55,58,62,60
Ferroseed,Grass,Steel,NU,44,50,91,24,86,10
Ferrothorn,Grass,Steel,OU,74,94,131,54,116,20
Flapple,Grass,Dragon,RU,70,110,80,95,60,70
Flareon,Fire,,NU,65,130,60,95,110,65
Flygon,Ground,Dragon,UU,80,100,80,80,80,100
Froslass,Ice,Ghost,NU,70,80,70,80,70,110
Froslass,Ice,Ghost,NU,70,80,70,80,70,110
Frosmoth,Ice,Bug,UU,70,65,60,125,90,65
Gallade,Psychic,Fighting,RU,68,125,65,65,115,80
Galvantula,Bug,Electric,RU,70,77,60,97,60,108
Garbodor,Poison,,NU,80,95,82,60,82,75
Gardevoir,Psychic,Fairy,UU,68,65,65,125,115,80
Gastrodon,Water,Ground,RU,111,83,68,92,82,39
Gengar,Ghost,Poison,OU,60,65,60,130,75,110
Gigalith,Rock,,UU,85,135,130,60,80,25
Glaceon,Ice,,PU,65,60,110,130,95,65
Glalie,Ice,,PU,80,80,80,80,80,80
Golisopod,Bug,Water,UU,75,125,140,60,90,40
Golisopod,Bug,Water,UU,75,125,140,60,90,40
Golurk,Ground,Ghost,NU,89,124,80,55,80,55
Goodra,Dragon,,RUBL,90,100,70,110,150,80
Gothitelle,Psychic,,PU,70,55,95,95,110,65
Gourgeist,Ghost,Grass,PU,65,90,122,58,75,84
Gourgeist-Large,Ghost,Grass,PU,75,95,122,58,75,69
Gourgeist-Small,Ghost,Grass,NU,55,85,122,58,75,99
Gourgeist-Super,Ghost,Grass,PU,85,100,122,58,75,54
Grapploct,Fighting,,PU,80,118,90,70,80,42
Greedent,Normal,,PU,120,95,95,55,75,20
Grimmsnarl,Dark,Fairy,OU,95,120,65,95,75,60
Gurdurr,Fighting,,RU,85,105,85,40,50,40
Gyarados,Water,Flying,UUBL,95,125,79,60,100,81
Hatterene,Psychic,Fairy,OU,57,90,95,136,103,29
Haunter,Ghost,Poison,NU,45,50,45,115,55,95
Hawlucha,Fighting,Flying,UUBL,78,92,75,74,63,118
Haxorus,Dragon,,UU,76,147,90,60,70,97
Heatmor,Fire,,PU,85,97,66,105,66,65
Heliolisk,Electric,Normal,UU,62,55,52,109,94,109
Hippowdon,Ground,,OU,108,112,118,68,72,47
Hitmonchan,Fighting,,NU,50,105,79,35,110,76
Hippowdon,Ground,,OU,108,112,118,68,72,47
Hitmonchan,Fighting,,NU,50,105,79,35,110,76
Hitmonlee,Fighting,,RU,50,120,53,35,110,87
Hitmontop,Fighting,,NU,50,95,95,35,110,70
Hydreigon,Dark,Dragon,OU,92,105,90,125,90,98
Incineroar,Fire,Dark,UU,95,115,90,80,90,60
Indeedee,Psychic,Normal,RU,60,65,55,105,95,95
Indeedee-F,Psychic,Normal,RU,70,55,65,95,105,85
Inteleon,Water,,UU,70,85,65,125,65,120
Jellicent,Water,Ghost,RU,100,60,70,85,105,60
Jirachi,Steel,Psychic,OU,100,100,100,100,100,100
Jolteon,Electric,,NU,65,65,60,110,95,130
Jolteon,Electric,,NU,65,65,60,110,95,130
Keldeo,Water,Fighting,OU,91,72,90,129,90,108
Keldeo-Resolute,Water,Fighting,OU,91,72,90,129,90,108
Kingler,Water,,NUBL,55,130,115,50,50,75
Klinklang,Steel,,NU,60,100,115,70,85,90
Kommo-o,Dragon,Fighting,OU,75,110,125,100,105,85
Kyurem,Dragon,Ice,OU,125,130,90,130,90,95
Lanturn,Water,Electric,NU,125,58,58,76,76,67
Lapras,Water,Ice,PU,130,85,80,85,95,60
Lanturn,Water,Electric,NU,125,58,58,76,76,67
Lapras,Water,Ice,PU,130,85,80,85,95,60
Leafeon,Grass,,PU,65,110,130,60,65,95
Liepard,Dark,,PU,64,88,50,88,50,106
Linoone,Normal,,UU,78,70,61,50,61,100
Lucario,Fighting,Steel,UU,70,110,70,115,70,90
Ludicolo,Water,Grass,PU,80,70,70,90,100,70
Lunatone,Rock,Psychic,PU,90,55,65,95,85,70
Machamp,Fighting,,UU,90,130,80,65,85,55
Machamp,Fighting,,UU,90,130,80,65,85,55
Malamar,Dark,Psychic,NU,86,92,88,68,75,73
Mamoswine,Ice,Ground,UU,110,130,80,70,60,80
Mandibuzz,Dark,Flying,OU,110,65,105,55,95,80
Manectric,Electric,,PU,70,75,60,105,60,105
Mantine,Water,Flying,RU,85,40,70,80,140,70
Maractus,Grass,,PU,75,86,67,106,67,60
Mawile,Steel,Fairy,PU,50,85,85,55,55,50
Melmetal-Gmax,Steel,,Limbo,135,143,143,80,65,34
Meltan,Steel,,UU,46,65,65,55,35,34
Meowstic-F,Psychic,,PU,74,48,76,83,81,104
Meowstic-M,Psychic,,PU,74,48,76,83,81,104
Meltan,Steel,,UU,46,65,65,55,35,34
Meowstic-F,Psychic,,PU,74,48,76,83,81,104
Meowstic-M,Psychic,,PU,74,48,76,83,81,104
Mew,Psychic,,OU,100,100,100,100,100,100
Milotic,Water,,UU,95,60,79,100,125,81
Mimikyu,Ghost,Fairy,OU,55,90,80,50,105,96
Mimikyu-Busted,Ghost,Fairy,OU,55,90,80,50,105,96
Morpeko,Electric,Dark,UU,58,95,58,70,58,97
Morpeko-Hangry,Electric,Dark,UU,58,95,58,70,58,97
Morpeko,Electric,Dark,UU,58,95,58,70,58,97
Morpeko-Hangry,Electric,Dark,UU,58,95,58,70,58,97
Mr. Mime,Psychic,Fairy,PU,40,45,65,100,120,90
Mr. Mime-Galar,Ice,Psychic,NU,50,65,65,90,90,100
Mr. Rime,Ice,Psychic,RU,80,85,75,110,100,70
Mudsdale,Ground,,RU,100,125,100,55,85,35
Musharna,Psychic,,PU,116,55,85,107,95,29
Necrozma,Psychic,,UU,97,107,101,127,89,79
Ninetales,Fire,,RU,73,76,75,81,100,100
Ninetales-Alola,Ice,Fairy,UUBL,73,67,75,81,100,109
Ninjask,Bug,Flying,PU,61,90,45,50,50,160
Ninetales,Fire,,RU,73,76,75,81,100,100
Ninetales-Alola,Ice,Fairy,UUBL,73,67,75,81,100,109
Ninjask,Bug,Flying,PU,61,90,45,50,50,160
Noctowl,Normal,Flying,PU,100,50,50,86,96,70
Noivern,Flying,Dragon,UU,85,70,80,97,80,123
Obstagoon,Dark,Normal,OU,93,90,101,60,81,95
Octillery,Water,,PU,75,105,75,105,75,45
Oranguru,Normal,Psychic,PU,90,60,80,90,110,60
Orbeetle,Bug,Psychic,NU,60,45,110,80,120,90
Pangoro,Fighting,Dark,RUBL,95,124,78,69,71,58
Passimian,Fighting,,RU,100,120,90,40,60,80
Pelipper,Water,Flying,OU,60,50,100,95,70,65
Passimian,Fighting,,RU,100,120,90,40,60,80
Pelipper,Water,Flying,OU,60,50,100,95,70,65
Perrserker,Steel,,NU,70,110,100,50,60,50
Persian,Normal,,PU,65,70,60,65,65,115
Persian-Alola,Dark,,UU,65,60,60,75,65,115
Pikachu-Alola,Electric,,PU,35,55,40,50,50,90
Pikachu-Hoenn,Electric,,PU,35,55,40,50,50,90
Pikachu-Kalos,Electric,,PU,35,55,40,50,50,90
Pikachu-Original,Electric,,PU,35,55,40,50,50,90
Pikachu-Partner,Electric,,PU,35,55,40,50,50,90
Pikachu-Sinnoh,Electric,,PU,35,55,40,50,50,90
Pikachu-Unova,Electric,,PU,35,55,40,50,50,90
Piloswine,Ice,Ground,NU,100,100,80,60,60,50
Pincurchin,Electric,,PU,48,101,95,91,85,15
Pikachu-Unova,Electric,,PU,35,55,40,50,50,90
Piloswine,Ice,Ground,NU,100,100,80,60,60,50
Pincurchin,Electric,,PU,48,101,95,91,85,15
Polteageist,Ghost,,UU,60,65,65,134,114,70
Polteageist-Antique,Ghost,,UU,60,65,65,134,114,70
Primarina,Water,Fairy,UUBL,80,74,74,126,116,60
Pyukumuku,Water,,PU,55,60,130,30,130,5
Quagsire,Water,Ground,RU,95,85,85,65,65,35
Qwilfish,Water,Poison,NU,65,95,85,55,55,85
Raichu,Electric,,PU,60,90,55,90,80,110
Qwilfish,Water,Poison,NU,65,95,85,55,55,85
Raichu,Electric,,PU,60,90,55,90,80,110
Raichu-Alola,Electric,Psychic,UU,60,85,50,95,85,110
Rapidash,Fire,,UU,65,100,70,80,80,105
Rapidash-Galar,Psychic,Fairy,NU,65,100,70,80,80,105
Reuniclus,Psychic,,UU,110,65,75,125,85,30
Rhydon,Ground,Rock,NU,105,130,120,45,45,40
Rhyperior,Ground,Rock,UU,115,140,130,55,55,40
Ribombee,Bug,Fairy,UU,60,55,60,95,70,124
Rillaboom,Grass,,RU,100,125,90,60,70,85
Roserade,Grass,Poison,UU,60,70,65,125,105,90
Rotom,Electric,Ghost,RU,50,50,77,95,77,91
Rotom-Fan,Electric,Flying,NU,50,65,107,105,107,86
Rotom-Frost,Electric,Ice,NU,50,65,107,105,107,86
Rotom-Heat,Electric,Fire,OU,50,65,107,105,107,86
Rotom-Mow,Electric,Grass,UU,50,65,107,105,107,86
Rotom-Wash,Electric,Water,OU,50,65,107,105,107,86
Runerigus,Ground,Ghost,RU,58,95,145,50,105,30
Sableye,Dark,Ghost,RU,50,75,75,65,65,50
Salazzle,Poison,Fire,RU,68,64,60,111,60,117
Sandaconda,Ground,,NU,72,107,125,65,70,71
Sawk,Fighting,,NU,75,125,75,30,75,85
Sawk,Fighting,,NU,75,125,75,30,75,85
Scrafty,Dark,Fighting,NUBL,65,90,115,45,115,58
Seaking,Water,,PU,80,92,65,65,80,68
Seismitoad,Water,Ground,OU,105,95,75,85,75,74
Shedinja,Bug,Ghost,PU,1,90,45,30,30,40
Shiftry,Grass,Dark,RUBL,90,100,60,90,60,80
Shiinotic,Grass,Fairy,PU,60,45,80,90,100,30
Shuckle,Bug,Rock,PU,20,10,230,10,230,5
Sigilyph,Psychic,Flying,RUBL,72,58,80,103,80,97
Silvally,Normal,,PU,95,95,95,95,95,95
Silvally-Bug,Bug,,PU,95,95,95,95,95,95
Silvally-Dark,Dark,,PU,95,95,95,95,95,95
Silvally-Bug,Bug,,PU,95,95,95,95,95,95
Silvally-Dark,Dark,,PU,95,95,95,95,95,95
Silvally-Dragon,Dragon,,PU,95,95,95,95,95,95
Silvally-Electric,Electric,,PU,95,95,95,95,95,95
Silvally-Fairy,Fairy,,RU,95,95,95,95,95,95
Silvally-Fighting,Fighting,,PU,95,95,95,95,95,95
Silvally-Fire,Fire,,PU,95,95,95,95,95,95
Silvally-Flying,Flying,,PU,95,95,95,95,95,95
Silvally-Ghost,Ghost,,RU,95,95,95,95,95,95
Silvally-Grass,Grass,,PU,95,95,95,95,95,95
Silvally-Ground,Ground,,PU,95,95,95,95,95,95
Silvally-Ice,Ice,,PU,95,95,95,95,95,95
Silvally-Poison,Poison,,PU,95,95,95,95,95,95
Silvally-Psychic,Psychic,,PU,95,95,95,95,95,95
Silvally-Rock,Rock,,PU,95,95,95,95,95,95
Silvally-Steel,Steel,,RU,95,95,95,95,95,95
Silvally-Water,Water,,PU,95,95,95,95,95,95
Sirfetch'd,Fighting,,UU,62,135,95,68,82,65
Sirfetch'd,Fighting,,UU,62,135,95,68,82,65
Skuntank,Poison,Dark,NU,103,93,67,71,61,84
Slowpoke,Water,Psychic,Limbo,90,65,65,40,40,15
Slowpoke-Galar,Psychic,,RU,90,65,65,40,40,15
Slurpuff,Fairy,,NUBL,82,80,86,85,75,72
Sneasel,Dark,Ice,NU,55,95,55,35,75,115
Snorlax,Normal,,RU,160,110,65,65,110,30
Solrock,Rock,Psychic,PU,90,95,85,55,65,70
Steelix,Steel,Ground,RU,75,85,200,55,65,30
Stonjourner,Rock,,PU,100,125,135,20,20,70
Stunfisk,Ground,Electric,UU,109,66,84,81,99,32
Stunfisk-Galar,Ground,Steel,NU,109,81,99,66,84,32
Sudowoodo,Rock,,PU,70,100,115,30,65,30
Swoobat,Psychic,Flying,PU,67,57,55,77,55,114
Sylveon,Fairy,,OU,95,65,65,110,130,60
Terrakion,Rock,Fighting,OU,91,129,90,72,90,108
Thievul,Dark,,PU,70,58,58,87,92,90
Sylveon,Fairy,,OU,95,65,65,110,130,60
Terrakion,Rock,Fighting,OU,91,129,90,72,90,108
Thievul,Dark,,PU,70,58,58,87,92,90
Throh,Fighting,,PU,120,100,85,30,85,45
Togedemaru,Electric,Steel,NU,65,98,63,40,73,96
Togekiss,Fairy,Flying,OU,85,50,95,120,115,80
Torkoal,Fire,,OU,70,85,140,85,70,20
Toxapex,Poison,Water,OU,50,63,152,53,142,35
Toxicroak,Poison,Fighting,NU,83,106,65,86,65,85
Toxtricity,Electric,Poison,UU,75,98,70,114,70,75
Toxtricity-Low-Key,Electric,Poison,UU,75,98,70,114,70,75
Toxtricity-Low-Key,Electric,Poison,UU,75,98,70,114,70,75
Trevenant,Ghost,Grass,PU,85,110,76,65,82,56
Tsareena,Grass,,UU,72,120,98,50,98,72
Turtonator,Fire,Dragon,NUBL,60,78,135,91,85,36
Tyranitar,Rock,Dark,OU,100,134,110,95,100,61
Umbreon,Dark,,UU,95,65,110,60,130,65
Unfezant,Normal,Flying,NU,80,115,80,65,55,93
Vanilluxe,Ice,,RU,71,95,85,110,95,79
Vaporeon,Water,,UU,130,65,60,110,95,65
Venusaur,Grass,Poison,UU,80,82,83,100,100,80
Vespiquen,Bug,Flying,PU,70,80,102,80,102,40
Vaporeon,Water,,UU,130,65,60,110,95,65
Venusaur,Grass,Poison,UU,80,82,83,100,100,80
Vespiquen,Bug,Flying,PU,70,80,102,80,102,40
Vikavolt,Bug,Electric,NUBL,77,70,90,145,75,43
Vileplume,Grass,Poison,RU,75,80,85,110,90,50
Virizion,Grass,Fighting,UU,91,90,72,90,129,108
Wailord,Water,,PU,170,90,45,90,45,60
Weavile,Dark,Ice,UUBL,70,120,65,45,85,125
Weezing,Poison,,UU,65,90,120,85,70,60
Weezing-Galar,Poison,Fairy,UU,65,90,120,85,70,60
Whimsicott,Grass,Fairy,RU,60,67,85,77,75,116
Whiscash,Water,Ground,PU,110,78,73,76,71,60
Whiscash,Water,Ground,PU,110,78,73,76,71,60
Wishiwashi,Water,,PU,45,20,20,25,25,40
Wishiwashi-School,Water,,PU,45,140,130,140,135,30
Wobbuffet,Psychic,,PU,190,33,58,33,58,33
Xatu,Psychic,Flying,RU,65,75,70,95,70,95
Zeraora,Electric,,OU,88,112,75,102,80,143
Zeraora,Electric,,OU,88,112,75,102,80,143
